Judet,An,Pop,Stab,Plec,Migr_szap,Migr_szap‰,Pop_stabila,Temporar absente,Perioada indelungata,Temporar absente‰,Absente perioada indelungata‰,Nat,Mort,Term_szap,Term_szap‰,M_Inf,M_Inf‰,Speranta de viata,Imbatranire demogr,Dependenta demogr,Salariati,Someri,Elevi prim,Elevi gimn,Superior,Analfabeti,Abandon primar,Abandon gimn,Medici,Medici/pop‰,Pers sanitar,Pers sanitar‰,Pat,Pat‰,Venit_tot,Venit_prop,Venit/pop,Supraf. locuib,Supraf_loc/pers,Locuinte exist,Suprafata locuibila/locuinte,Densitatea pop,"locuinte apa
potabila","locuinte
canalizare","lakas/electricitate
","incalzire  centrala/
lakas","konyha/
lakas","furdo/
lakas",Boli total,Tumori,Cardio vascular,Tumori%,Cardio_vasc%,Tumori/100000,Card_vasc/100000,Urban pop,Urban pop%,Kereset,GDP_EU%,GDP_RON,GDP/POP,ceg/terulet,ceg/pop,gdp milioane lei,nr pop 1 iulie dupa domociliu,gdp pe locuitor,indice infl,gdpreal,castig salarial,castig salarial real,personal didactic,populatie scolara,nr elevi/profesor ,elevi liceal si profesional,rata de ocupare=pop ocupata civila/resurse de munca,rata somajului,durata medie a vietii,rata mortalitatii infantile,pop agric,pop ocupata,pondere pop ocupata agricultura,rata criminalitatii,persoane condamnate definitiv,rata infractionaltatii,varsta medie,nr medici,nr medici la 10000loc,gaz nat distribuit uz casnic,gaz natural uz casnic/nr pop,supr locuibila in urban,populatie urbana,suprafata locuibila urban pe persoana,camere de locuit,camere per persoana,locuinte noi terminate,locuinte noi la 100000 persoane,pc-uri,PC-uri la 1000 de elevi,supr spatii verzi in urban,supr spatii verzi in urban/nr persoane,suprafata, drumuri nationale modrnizate,densitate drumuri nationale modernizate,supr fond forestier (mii ha),pondere fond forestier (ha),"Cantitate pesticide (kg; insecticide,fungicide,erbicide)",cantitate pesticide/km2,rata scolarizare ciclul2,elevi liceal si profesional.1,nr pop 15-18 ani,populatia conectata la sisteme de canalizare cu epurare,pondere pop conectata la sisteme de canalizare cu epurare,gini,Theil T,20 over 20,10 over 10,venituri proprii,venituri proprii pe locuitor,GDP,Venituri Totale,Venituri Proprii,Emigranti definitivi pe judete si localitati de plecare,Imigranti definitivi pe judete si localitati de destinatie,POPULATIA DUPA DOMICILIU la 1 ianuarie
Alba,1990,,4893.0,13006.0,-8113.0,-19.38,,,,,,5762.0,4692.0,1070.0,2.56,102.0,17.7,70.34,,,149181.0,,,,,,,,759.0,1.81,2184.0,5.22,3973.0,9.49,,,,4534222.0,10.83,145528.0,31.16,67.06,,,,,,,4692.0,631.0,3066.0,13.45,65.35,150.74,732.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alba,1991,,3973.0,6544.0,-2571.0,-6.14,,,,,,5120.0,4566.0,554.0,1.32,85.0,16.6,70.53,,,137228.0,,,,,,,,719.0,1.72,2139.0,5.11,3973.0,9.49,,,,4780920.0,11.42,137460.0,34.78,67.06,,,,,,,4566.0,583.0,3043.0,12.77,66.64,139.27,726.95,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alba,1992,418600.0,4413.0,6430.0,-2017.0,-4.82,,,,,,4804.0,4910.0,-106.0,-0.25,105.0,21.86,70.36,50.87,51.33,129564.0,,,,,,,,674.0,1.61,2087.0,4.99,3267.0,7.8,,,,4795455.0,11.46,137689.0,34.83,67.06,,,,,,,4910.0,689.0,3158.0,14.03,64.32,164.6,754.42,228997.0,54.71,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alba,1993,416270.0,2672.0,4302.0,-1630.0,-3.92,,,,,,4443.0,4864.0,-421.0,-1.02,89.0,20.03,69.77,53.17,50.82,122625.0,,,,,,,,665.0,1.6,2019.0,4.85,3366.0,8.09,,,,4802000.0,11.54,137758.0,34.86,66.69,,,,,,,4864.0,674.0,3219.0,13.86,66.18,161.91,773.3,229194.0,55.06,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alba,1994,414916.0,2972.0,4245.0,-1273.0,-3.07,,,,,,4409.0,4811.0,-402.0,-0.97,76.0,17.24,70.03,55.83,50.12,122255.0,,,,,,,,668.0,1.61,2165.0,5.22,3348.0,8.07,,,,4814000.0,11.6,137903.0,34.91,66.47,,,,,,,4811.0,654.0,3155.0,13.59,65.58,157.62,760.39,229613.0,55.34,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alba,1995,412923.0,4496.0,5674.0,-1178.0,-2.85,,,,,,4074.0,5072.0,-998.0,-2.42,68.0,16.69,70.11,58.59,49.47,129125.0,,24784.0,20533.0,,,,,690.0,1.67,2209.0,5.35,3368.0,8.16,,,,4828697.0,11.69,138160.0,34.95,66.15,,,,,,,5072.0,714.0,3379.0,14.08,66.62,172.91,818.31,236681.0,57.32,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alba,1996,410907.0,4948.0,5978.0,-1030.0,-2.51,,,,,,4059.0,5152.0,-1093.0,-2.68,66.0,16.26,69.58,61.83,48.77,116811.0,,24956.0,20683.0,,,,,699.0,1.7,2195.0,5.34,3348.0,8.15,,,,4848522.0,11.8,138435.0,35.02,65.83,,,,,,,5152.0,756.0,3441.0,14.67,66.79,183.98,837.42,235777.0,57.38,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alba,1997,409016.0,5690.0,6394.0,-704.0,-1.72,,,,,,4223.0,5254.0,-1031.0,-2.53,77.0,18.23,69.41,64.65,48.08,97499.0,,24302.0,21202.0,,,,,641.0,1.57,2032.0,4.97,3133.0,7.66,,,,4874144.0,11.92,138806.0,35.11,65.53,,,,,,,5254.0,752.0,3365.0,14.31,64.05,183.86,822.71,234949.0,57.44,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alba,1998,407435.0,4062.0,5169.0,-1107.0,-2.72,,,,,,4158.0,4869.0,-711.0,-1.75,72.0,17.32,69.66,66.95,47.84,95518.0,,22913.0,22687.0,,,,,616.0,1.51,2044.0,5.02,3133.0,7.69,,,,4892106.0,12.01,139027.0,35.19,65.27,,,,,,,4869.0,712.0,3293.0,14.62,67.63,174.75,808.23,239197.0,58.71,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alba,1999,405386.0,4581.0,5542.0,-961.0,-2.37,,,,,,4053.0,4835.0,-782.0,-1.94,68.0,16.78,70.08,69.4,47.47,89359.0,,21411.0,23071.0,,,,,654.0,1.61,2016.0,4.97,3046.0,7.51,297831.9,130725.9,0.32,4917941.0,12.13,139403.0,35.28,64.94,,,,,,,4835.0,742.0,3217.0,15.35,66.54,183.04,793.56,238029.0,58.72,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
