Attribute,Gini_Coefficient,weight
PDI_DEMO,0.11076,1
IND_DEMO,0.16475,1
MAS_DEMO,0.1701,1
UAI_DEMO,0.0883,1
LTO_DEMO,0.14143,1
IVR_DEMO,0.23611,1
IR_total_DEMO,0.04765,1
IR_DEMO,0.04515,1
R_DEMO,0.03864,1
SD_DEMO,0.08634,1
AWF_DEMO,0.056229999999999995,1
DEM_DEMO,0.02712,1
LFT_DEMO,0.03684,1
ACH_DEMO,0.04556,1
APP_DEMO,0.06702000000000001,1
COMF_DEMO,0.04016,1
PDA_DEMO,0.08763,1
PDA_FUNC_DEMO,0.08847000000000001,1
PDA_DISFUNC_DEMO,0.09606,1
PDA_POZITIV_DEMO,0.039619999999999995,1
Satisfaction_DEMO,0.02655,1
Negative_experience_DEMO,0.042980000000000004,1
Trsust_Family_DEMO,0.0222,1
Trust_First_DEMO,0.08415,1
Trust_Religion_DEMO,0.10404000000000001,1
Trust_Nationality_DEMO,0.09583,1
Democracy_1_DEMO,0.059410000000000004,1
Democracy_2_DEMO,0.03095,1
Democracy_3_DEMO,0.16011,1
PDI_FD,0.09568,1
IND_FD,0.19314,1
MAS_FD,0.16434,1
UAI_FD,0.09656,1
LTO_FD,0.13552,1
IVR_FD,0.27063000000000004,1
IR_total_FD,0.0483,1
IR_FD,0.04278,1
R_FD,0.03847,1
SD_FD,0.0902,1
AWF_FD,0.058570000000000004,1
DEM_FD,0.02783,1
LFT_FD,0.03626,1
ACH_72_FD,0.046239999999999996,1
APP_72_FD,0.07245,1
COMF_72_FD,0.03864,1
PDA_TOTAL_FD,0.09567,1
PDA_FUNC_FD,0.09414,1
PDA_DISFUNC_FD,0.10832,1
PDA_POZITIV_FD,0.04285,1
Satisfaction_FD,0.0299,1
Negative_experience_FD,0.05126,1
Trust_Family_FD,0.0215,1
Trust_First_FD,0.1002,1
Trust_Religion_FD,0.11710999999999999,1
Trust_Nationality_FD,0.11272,1
Democracy_1_FD,0.05774,1
Democracy_2_FD,0.03005,1
Democracy_3_FD,0.16255999999999998,1
venit_propriu,0.35701,1
chelt_tot,0.30384,1
chelt_asistenta_sociala,0.37636,1
proc_neet,0.2042,1
supr_agricol,0.3534,1
rata_mort_infantila,0.28996,1
personal_sanitar,0.39308000000000004,1
medici,0.50513,1
pod_pop_varstnice,0.23798000000000002,1
pod_pop_tinere,0.33192,1
cabinete_medicale,0.27865,1
paturi_spitale,0.3274,1
pop_ocupata_civila,0.2432,1
rata_mortalitatii,0.2716,1
rata_natalitatii,0.34453,1
spor_migratoriu,0.22155,1
spor_natural,0.41648999999999997,1
chelt_sanatate,0.34857,1
pon_studii_sup>10ani,0.39097,1
pon_pop_analfabeta,0.4326,1
pop_25_st_superioare,0.37867,1
chelt_inv,0.3319,1
pon_pop_fara_studii,0.30829,1
pop_25_sup_post_ter,0.33011999999999997,1
unit_scolare,0.28217,1
rata_part_forta_munca_fem,0.27933,1
media_ani_sc_pop_fem_25_ani,0.24336999999999998,1
pondere_someri_fem,0.26526,1
lung_cond_canalizare,0.41334,1
acces_apa,0.22810999999999998,1
acces_apa_calda,0.30046999999999996,1
acces_inc_centrala,0.27688,1
acces_electricitate,0.24928000000000003,1
banci,0.46955,1
proc_salariati,0.34571999999999997,1
pondere_someri,0.29115,1
proc_structura_turistica,0.51053,1
grad_utilizare_cazare,0.27174,1
lungime_gaz,0.49591999999999997,1
lungime_apa_potabila,0.36103,1
densitate_drumuri,0.23798000000000002,1
acces_dj,0.16282,1
acces_dn,0.2574,1
cadre_didactice,0.25776,1
chelt_transport,0.37276,1
densitate_cai_ferate,0.33705,1
lhdi,0.27558,1
loc_noi_terminate,0.56047,1
densitate_pop,0.32183,1
rata_crestere_pop,0.30881,1
proc_loc_baie,0.31937,1
proc_loc_closet,0.35014,1
supr_locuibila,0.23576,1
densitatea_locativa,0.27954,1
pers_gospodarie,0.32994,1
aut_construire,0.40693,1
chelt_locuinte_sociale,0.37636,1
chelt_cultura,0.32635,1
acces_canalizare,0.31301999999999996,1
supr_paduri,0.38525,1
schimbare_supr_construita,0.44942,1
schimbare_paduri,0.17164000000000001,1
utilizare_internet,0.27710999999999997,1
bibiloteci,0.21095999999999998,1
muzee_ind,0.4354,1
sume_ue,0.42349,1
finantare_mdrap,0.32971999999999996,1
% navetism,0.30825,1
Acces aeroport,0.31146,1
Acces judet,0.27429000000000003,1
